proteinId	go_term_id	go_term_type	go_name	go_acc
2247	3708	molecular_function	binding	GO:0005488
2247	13596	molecular_function	dimethylhistidine N-methyltransferase activity	GO:0030745
3131	13063	molecular_function	pyridoxal phosphate binding	GO:0030170
3131	12002	biological_process	carboxylic acid metabolic process	GO:0019752
3131	10026	molecular_function	carboxy-lyase activity	GO:0016831
3131	2500	molecular_function	aromatic-L-amino-acid decarboxylase activity	GO:0004058
3750	3727	molecular_function	protein binding	GO:0005515
4268	4143	biological_process	carbohydrate metabolic process	GO:0005975
4268	2939	molecular_function	alpha-L-fucosidase activity	GO:0004560
4708	5939	molecular_function	zinc ion binding	GO:0008270
4708	3827	cellular_component	intracellular	GO:0005622
4708	2175	molecular_function	nucleic acid binding	GO:0003676
5325	4143	biological_process	carbohydrate metabolic process	GO:0005975
5325	2933	molecular_function	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553
7454	5849	molecular_function	O-methyltransferase activity	GO:0008171
7564	3827	cellular_component	intracellular	GO:0005622
8443	5849	molecular_function	O-methyltransferase activity	GO:0008171
8814	4639	biological_process	proteolysis	GO:0006508
8814	2632	molecular_function	pepsin A activity	GO:0004194
8814	2628	molecular_function	aspartic-type endopeptidase activity	GO:0004190
8814	2634	molecular_function	saccharopepsin activity	GO:0004196
10473	9366	biological_process	RNA metabolic process	GO:0016070
10473	3727	molecular_function	protein binding	GO:0005515
10473	3708	molecular_function	binding	GO:0005488
11456	9320	cellular_component	membrane	GO:0016020
12562	4283	biological_process	electron transport	GO:0006118
12562	2443	molecular_function	acyl-CoA dehydrogenase activity	GO:0003995
12562	9834	molecular_function	oxidoreductase activity, acting on the CH-CH group of donors	GO:0016627
12562	5830	biological_process	metabolic process	GO:0008152
12562	23919	molecular_function	FAD binding	GO:0050660
12932	4639	biological_process	proteolysis	GO:0006508
12932	2700	molecular_function	subtilase activity	GO:0004289
12932	5908	molecular_function	serine-type peptidase activity	GO:0008236
12932	11413	molecular_function	tripeptidyl-peptidase I activity	GO:0019131
14583	2441	molecular_function	acid phosphatase activity	GO:0003993
15188	5939	molecular_function	zinc ion binding	GO:0008270
15188	4504	biological_process	regulation of transcription, DNA-dependent	GO:0006355
15188	3838	cellular_component	nucleus	GO:0005634
15188	2196	molecular_function	transcription factor activity	GO:0003700
15266	4602	biological_process	protein amino acid phosphorylation	GO:0006468
15266	3736	molecular_function	ATP binding	GO:0005524
15266	3043	molecular_function	protein kinase activity	GO:0004672
15266	3052	molecular_function	protein kinase CK2 activity	GO:0004682
19964	19030	molecular_function	sequence-specific DNA binding	GO:0043565
19964	4504	biological_process	regulation of transcription, DNA-dependent	GO:0006355
19964	3838	cellular_component	nucleus	GO:0005634
19964	2196	molecular_function	transcription factor activity	GO:0003700
23488	2791	molecular_function	guanylate kinase activity	GO:0004385
23488	2790	molecular_function	membrane-associated guanylate kinase	GO:0004384
23871	9985	molecular_function	hydrolase activity	GO:0016787
23871	18285	molecular_function	"3'-tRNA processing endoribonuclease activity"	GO:0042781
25396	9710	molecular_function	oxidoreductase activity	GO:0016491
25396	4283	biological_process	electron transport	GO:0006118
26086	13917	molecular_function	heat shock protein binding	GO:0031072
27152	10000	molecular_function	prolyl aminopeptidase activity	GO:0016804
27152	3930	cellular_component	cytoplasm	GO:0005737
28162	9710	molecular_function	oxidoreductase activity	GO:0016491
28162	4650	biological_process	amino acid metabolic process	GO:0006520
28162	2758	molecular_function	glutamate dehydrogenase activity	GO:0004352
28840	5939	molecular_function	zinc ion binding	GO:0008270
29010	5830	biological_process	metabolic process	GO:0008152
29010	2290	molecular_function	catalytic activity	GO:0003824
35826	9320	cellular_component	membrane	GO:0016020
69616	5939	molecular_function	zinc ion binding	GO:0008270
69616	2175	molecular_function	nucleic acid binding	GO:0003676
69751	12147	molecular_function	protein domain specific binding	GO:0019904
72758	9985	molecular_function	hydrolase activity	GO:0016787
72758	292	molecular_function	endopolyphosphatase activity	GO:0000298
72967	4504	biological_process	regulation of transcription, DNA-dependent	GO:0006355
72967	2176	molecular_function	DNA binding	GO:0003677
78081	4437	biological_process	RNA-dependent DNA replication	GO:0006278
78081	2417	molecular_function	RNA-directed DNA polymerase activity	GO:0003964
78081	2216	molecular_function	RNA binding	GO:0003723
78081	2419	molecular_function	RNA-directed DNA polymerase, group II intron encoded	GO:0003967
78081	2418	molecular_function	RNA-directed DNA polymerase, transposon encoded	GO:0003966
78081	2215	molecular_function	telomeric template RNA reverse transcriptase activity	GO:0003721
85464	5939	molecular_function	zinc ion binding	GO:0008270
85464	3827	cellular_component	intracellular	GO:0005622
85464	2175	molecular_function	nucleic acid binding	GO:0003676
85843	5344	biological_process	small GTPase mediated signal transduction	GO:0007264
85843	3827	cellular_component	intracellular	GO:0005622
85843	3737	molecular_function	GTP binding	GO:0005525
85927	3737	molecular_function	GTP binding	GO:0005525
88901	9321	cellular_component	integral to membrane	GO:0016021
90376	5707	molecular_function	microtubule binding	GO:0008017
90376	3930	cellular_component	cytoplasm	GO:0005737
90376	222	biological_process	microtubule cytoskeleton organization and biogenesis	GO:0000226
95762	5939	molecular_function	zinc ion binding	GO:0008270
95762	3727	molecular_function	protein binding	GO:0005515
95762	5143	biological_process	cell cycle	GO:0007049
95762	3838	cellular_component	nucleus	GO:0005634
