"ProteinID"	"GOTerm"
1870	"GO:0008810,GO:0005975,GO:0004553"
6316	"GO:0031072"
6506	"GO:0016020,GO:0006821,GO:0005247,GO:0005216"
6641	"GO:0004794,GO:0030170,GO:0006520,GO:0009097,GO:0008152,GO:0003824"
8494	"GO:0008026,GO:0005524,GO:0003676,GO:0004386,GO:0016818,GO:0005634,GO:0003723"
10886	"GO:0016021"
11200	"GO:0016021,GO:0004190"
12040	"GO:0016787"
12609	"GO:0016021,GO:0006825,GO:0005375"
12650	"GO:0046316,GO:0005524,GO:0004765"
12736	"GO:0016021,GO:0006825,GO:0005375"
14927	"GO:0017111,GO:0000166,GO:0005524"
15824	"GO:0003677"
23168	"GO:0042027,GO:0030051,GO:0004600,GO:0003755"
23683	"GO:0008843,GO:0004568,GO:0005975,GO:0004553,GO:0006032"
24140	"GO:0016287,GO:0004366,GO:0008415,GO:0008152"
24267	"GO:0030600,GO:0006629,GO:0004806"
24445	"GO:0004100,GO:0046914,GO:0020037,GO:0016459,GO:0005524,GO:0003774"
24730	"GO:0016491,GO:0008152"
25151	"GO:0005524"
25751	"GO:0005622,GO:0003676"
26096	"GO:0004053,GO:0046872,GO:0016813"
29088	"GO:0008843,GO:0004568,GO:0005975,GO:0004553,GO:0006032"
30727	"GO:0008117,GO:0030170,GO:0019752,GO:0016831"
32150	"GO:0008270,GO:0005622,GO:0003676"
33035	"GO:0004682,GO:0006468,GO:0005524,GO:0004672,GO:0004713"
33441	"GO:0003824"
34682	"GO:0016491,GO:0006118"
37079	"GO:0008270,GO:0005622"
39477	"GO:0006468,GO:0005524,GO:0004672,GO:0004674"
42168	"GO:0016020"
42673	"GO:0000166"
43067	"GO:0008270,GO:0005515"
48172	"GO:0005525,GO:0003924"
50461	"GO:0006508,GO:0005524,GO:0004222,GO:0017111,GO:0000166,GO:0030163,GO:0016020"
50964	"GO:0047874,GO:0016020,GO:0003824"
53384	"GO:0008481,GO:0007205,GO:0004143,GO:0008152,GO:0003951"
64293	"GO:0004430"
64347	"GO:0004430"
64936	"GO:0004430"
74929	"GO:0016787"
75365	"GO:0008171"
77894	"GO:0005975,GO:0004553"
77922	"GO:0008270"
78407	"GO:0016020"
82066	"GO:0004682,GO:0006468,GO:0005524,GO:0004672,GO:0004713"
83735	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
85095	"GO:0016021,GO:0004659"
85653	"GO:0008270,GO:0005515"
85664	"GO:0005634"
86989	"GO:0016021,GO:0015450,GO:0009306"
88585	"GO:0008810,GO:0005975,GO:0004553"
88643	"GO:0008810,GO:0005975,GO:0004553"
96168	"GO:0004187,GO:0006508,GO:0004185"
116800	"GO:0008171"
117028	"GO:0008171"
120134	"GO:0016020"
130289	"GO:0005488"
131249	"GO:0003877,GO:0003824"
133607	"GO:0016491,GO:0008152"
133865	"GO:0016972"
136066	"GO:0016231,GO:0004563"
137625	"GO:0008152"
138729	"GO:0016787"
142091	"GO:0005634"
142411	"GO:0003997,GO:0016627,GO:0006118,GO:0008152"
142580	"GO:0003997,GO:0016627,GO:0006118,GO:0008152"
144087	"GO:0016021,GO:0007186,GO:0004932"
146816	"GO:0008236,GO:0006508"
147406	"GO:0051864"
147749	"GO:0003676"
147867	"GO:0003723,GO:0005488"
155386	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
