proteinId	go_term_id	go_term_type	go_name	go_acc
1870	6429	molecular_function	cellulase activity	GO:0008810
1870	4143	biological_process	carbohydrate metabolic process	GO:0005975
1870	2933	molecular_function	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553
6316	13917	molecular_function	heat shock protein binding	GO:0031072
6506	9320	cellular_component	membrane	GO:0016020
6506	4937	biological_process	chloride transport	GO:0006821
6506	3572	molecular_function	voltage-gated chloride channel activity	GO:0005247
6506	3547	molecular_function	ion channel activity	GO:0005216
6641	3154	molecular_function	L-threonine ammonia-lyase activity	GO:0004794
6641	13063	molecular_function	pyridoxal phosphate binding	GO:0030170
6641	4650	biological_process	amino acid metabolic process	GO:0006520
6641	6705	biological_process	isoleucine biosynthetic process	GO:0009097
6641	5830	biological_process	metabolic process	GO:0008152
6641	2290	molecular_function	catalytic activity	GO:0003824
8494	5716	molecular_function	ATP-dependent helicase activity	GO:0008026
8494	3736	molecular_function	ATP binding	GO:0005524
8494	2175	molecular_function	nucleic acid binding	GO:0003676
8494	2792	molecular_function	helicase activity	GO:0004386
8494	10013	molecular_function	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	GO:0016818
8494	3838	cellular_component	nucleus	GO:0005634
8494	2216	molecular_function	RNA binding	GO:0003723
10886	9321	cellular_component	integral to membrane	GO:0016021
11200	9321	cellular_component	integral to membrane	GO:0016021
11200	2628	molecular_function	aspartic-type endopeptidase activity	GO:0004190
12040	9985	molecular_function	hydrolase activity	GO:0016787
12609	9321	cellular_component	integral to membrane	GO:0016021
12609	4940	biological_process	copper ion transport	GO:0006825
12609	3664	molecular_function	copper ion transmembrane transporter activity	GO:0005375
12650	20755	molecular_function	gluconokinase activity	GO:0046316
12650	3736	molecular_function	ATP binding	GO:0005524
12650	3126	molecular_function	shikimate kinase activity	GO:0004765
12736	9321	cellular_component	integral to membrane	GO:0016021
12736	4940	biological_process	copper ion transport	GO:0006825
12736	3664	molecular_function	copper ion transmembrane transporter activity	GO:0005375
14927	10269	molecular_function	nucleoside-triphosphatase activity	GO:0017111
14927	162	molecular_function	nucleotide binding	GO:0000166
14927	3736	molecular_function	ATP binding	GO:0005524
15824	2176	molecular_function	DNA binding	GO:0003677
23168	17567	molecular_function	cyclophilin-type peptidyl-prolyl cis-trans isomerase activity	GO:0042027
23168	12948	molecular_function	FK506-sensitive peptidyl-prolyl cis-trans isomerase	GO:0030051
23168	2975	molecular_function	cyclophilin	GO:0004600
23168	2233	molecular_function	peptidyl-prolyl cis-trans isomerase activity	GO:0003755
23683	6462	molecular_function	endochitinase activity	GO:0008843
23683	2946	molecular_function	chitinase activity	GO:0004568
23683	4143	biological_process	carbohydrate metabolic process	GO:0005975
23683	2933	molecular_function	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553
23683	4200	biological_process	chitin catabolic process	GO:0006032
24140	9563	molecular_function	glycerone-phosphate O-acyltransferase activity	GO:0016287
24140	2772	molecular_function	glycerol-3-phosphate O-acyltransferase activity	GO:0004366
24140	6075	molecular_function	acyltransferase activity	GO:0008415
24140	5830	biological_process	metabolic process	GO:0008152
24267	13461	molecular_function	feruloyl esterase activity	GO:0030600
24267	4758	biological_process	lipid metabolic process	GO:0006629
24267	3166	molecular_function	triacylglycerol lipase activity	GO:0004806
24445	2540	molecular_function	chitin synthase activity	GO:0004100
24445	21336	molecular_function	transition metal ion binding	GO:0046914
24445	12251	molecular_function	heme binding	GO:0020037
24445	9681	cellular_component	myosin complex	GO:0016459
24445	3736	molecular_function	ATP binding	GO:0005524
24445	2241	molecular_function	motor activity	GO:0003774
24730	9710	molecular_function	oxidoreductase activity	GO:0016491
24730	5830	biological_process	metabolic process	GO:0008152
25151	3736	molecular_function	ATP binding	GO:0005524
25751	3827	cellular_component	intracellular	GO:0005622
25751	2175	molecular_function	nucleic acid binding	GO:0003676
26096	2495	molecular_function	arginase activity	GO:0004053
26096	21295	molecular_function	metal ion binding	GO:0046872
26096	10008	molecular_function	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines	GO:0016813
29088	6462	molecular_function	endochitinase activity	GO:0008843
29088	2946	molecular_function	chitinase activity	GO:0004568
29088	4143	biological_process	carbohydrate metabolic process	GO:0005975
29088	2933	molecular_function	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553
29088	4200	biological_process	chitin catabolic process	GO:0006032
30727	5799	molecular_function	sphinganine-1-phosphate aldolase activity	GO:0008117
30727	13063	molecular_function	pyridoxal phosphate binding	GO:0030170
30727	12002	biological_process	carboxylic acid metabolic process	GO:0019752
30727	10026	molecular_function	carboxy-lyase activity	GO:0016831
32150	5939	molecular_function	zinc ion binding	GO:0008270
32150	3827	cellular_component	intracellular	GO:0005622
32150	2175	molecular_function	nucleic acid binding	GO:0003676
33035	3052	molecular_function	protein kinase CK2 activity	GO:0004682
33035	4602	biological_process	protein amino acid phosphorylation	GO:0006468
33035	3736	molecular_function	ATP binding	GO:0005524
33035	3043	molecular_function	protein kinase activity	GO:0004672
33035	3079	molecular_function	protein-tyrosine kinase activity	GO:0004713
33441	2290	molecular_function	catalytic activity	GO:0003824
34682	9710	molecular_function	oxidoreductase activity	GO:0016491
34682	4283	biological_process	electron transport	GO:0006118
37079	5939	molecular_function	zinc ion binding	GO:0008270
37079	3827	cellular_component	intracellular	GO:0005622
39477	4602	biological_process	protein amino acid phosphorylation	GO:0006468
39477	3736	molecular_function	ATP binding	GO:0005524
39477	3043	molecular_function	protein kinase activity	GO:0004672
39477	3045	molecular_function	protein serine/threonine kinase activity	GO:0004674
42168	9320	cellular_component	membrane	GO:0016020
42673	162	molecular_function	nucleotide binding	GO:0000166
43067	5939	molecular_function	zinc ion binding	GO:0008270
43067	3727	molecular_function	protein binding	GO:0005515
48172	3737	molecular_function	GTP binding	GO:0005525
48172	2378	molecular_function	GTPase activity	GO:0003924
50461	4639	biological_process	proteolysis	GO:0006508
50461	3736	molecular_function	ATP binding	GO:0005524
50461	2658	molecular_function	metalloendopeptidase activity	GO:0004222
50461	10269	molecular_function	nucleoside-triphosphatase activity	GO:0017111
50461	162	molecular_function	nucleotide binding	GO:0000166
50461	13056	biological_process	protein catabolic process	GO:0030163
50461	9320	cellular_component	membrane	GO:0016020
